CRE 0,CSA AI Controls Matrix|name,CSA AI Controls Matrix|id,CSA AI Controls Matrix|description,CSA AI Controls Matrix|hyperlink
463-577|Incident response,Security Breach Notification,SEF-07,"Define and implement, processes, procedures and technical measures for security breach notifications. Report material security breaches and assumed security breaches including any relevant supply chain breaches, as per applicable SLAs, laws and regulations.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
463-577|Incident response,Points of Contact Maintenance,SEF-08,"Maintain points of contact for applicable regulation authorities, national and local law enforcement, and other legal jurisdictional authorities. Review and update the points of contact at least annually.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
463-577|Incident response,Incident Response,SEF-09,"Define incident categories and severity levels for AI systems, and determine response procedures for each, including automated response where applicable.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
467-784|Network security,Network Security,I&S-03,"Monitor, encrypt and restrict communications between environments to only authenticated and authorized connections, as justified by the business. Review these configurations at least annually, and support them by a documented justification of all allowed services, protocols, ports, and compensating controls.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
486-813|Configuration,Detection of Baseline Deviation,CCC-07,Implement detection measures with proactive notification in case of changes deviating from the established baseline.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
504-340|Encrypt sensitive data with algorithms that provide both confidentiality and integrity,Data Encryption,CEK-03,"Provide data protection at-rest, in-transit and, where applicable, in-use by using cryptographic libraries certified to approved standards.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
504-340|Encrypt sensitive data with algorithms that provide both confidentiality and integrity,Storage Encryption,UEM-08,Protect information from unauthorized disclosure on managed endpoint devices with storage encryption.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
510-324|Compliance,Supply Chain Service Agreement Compliance,STA-13,"Implement policies requiring all service providers throughout the supply chain to comply with information security, confidentiality, access control, privacy, audit, personnel policy and service level requirements and standards.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
"515-021|Sandbox, containerize and/or isolate applications at the network level",Infrastructure and Virtualization Security Policy and Procedures,I&S-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for infrastructure and virtualization security. Review and update the policies and procedures at least annually, or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
522-616|Media protection,Secure Media Transportation Policy and Procedures,DCS-04,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for the secure transportation of physical media. Review and update the policies and procedures at least annually, or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
524-603|Limit modification of access controls to specifically authorized actors/users,Management of Privileged Access Roles,IAM-10,"Define and implement an access process to ensure privileged access roles and rights are granted for a time limited period, and implement procedures to prevent the accumulation of segregated privileged access.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
524-603|Limit modification of access controls to specifically authorized actors/users,Customers' Approval for Agreed Privileged Access Roles,IAM-11,"Define, implement and evaluate processes and procedures for customers to participate, where applicable, in the granting of access for agreed, high risk (as defined by the organizational risk assessment) privileged access roles.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
524-603|Limit modification of access controls to specifically authorized actors/users,Output Modification and Special Authorization,IAM-18,"When allowing model output modification of AI generated output, establish a role for this access and allow changes only by authorized identities.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
533-635|AI security Education,AI Competency Training,HRS-14,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures defining the AI training program for all relevant personnel of the organization based on their roles and provide regular training updates.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
540-566|Let application request minimal permissions,Application and Service Approval,UEM-02,"Define, document, apply and evaluate a list of approved services, applications and sources of applications (stores) acceptable for use by endpoints when accessing or storing organization-managed data.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
552-588|Detect and prevent unusual activity,Security Monitoring and Alerting,LOG-03,"Identify and monitor security-related events within applications, the underlying infrastructure, supply chain, and consider logging other events based on risk evaluation. Define and implement a system to generate alerts to responsible stakeholders based on such events and corresponding metrics.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
552-588|Detect and prevent unusual activity,Failures and Anomalies Reporting,LOG-13,"Define, implement and evaluate processes, procedures and technical measures for the reporting of anomalies and failures of the monitoring system and provide immediate notification to the accountable party.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
570-487|Manual penetration testing,Penetration Testing,TVM-06,"Define, implement and evaluate processes, procedures and technical measures for the periodic performance of penetration testing by independent third parties.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
613-286|Dependency management,External Library Vulnerabilities,TVM-05,"Define, implement and evaluate processes, procedures and technical measures to identify updates for applications which use third party or open source libraries according to the organization's vulnerability management policy.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
615-663|Data poisoning of train/finetune/augmentation data,Data Poisoning Prevention & Detection,DSP-21,"Define, implement and evaluate processes, procedures and technical measures to prevent data poisoning in AI models and continuously detect such.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
646-285|AI compliance management,Requirements Compliance,A&A-04,"Verify compliance with all relevant standards, regulations, legal/contractual, and statutory requirements applicable to the audit.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
646-285|AI compliance management,Information System Regulatory Mapping,GRC-07,"Identify and document all relevant standards, regulations, legal/contractual, and statutory requirements, which are applicable to your organization. Review at least annually or when a substantial change occurs within the organization.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
703-813|Monitor inference,Input Monitoring,LOG-14,Log and monitor all input events (content and metadata) to enable auditing and reporting on the usage of AI models.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
703-813|Monitor inference,Output Monitoring,LOG-15,Log and monitor all output events (content and metadata) to enable auditing and reporting on usage of AI models.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
703-813|Monitor inference,Model Continuous Monitoring,MDS-10,"Define, implement, and evaluate processes, procedures, and technical measures for continuous monitoring of model performance metrics over time to identify sudden shifts or unexpected changes in predictions that could degrade model performance.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
713-684|Log access protection,Audit Logs Protection,LOG-02,"Define, implement and evaluate processes, procedures and technical measures to ensure the security and retention of audit logs.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
713-684|Log access protection,Audit Logs Access and Accountability,LOG-04,Restrict access to audit logs and maintain records of access to logs.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
715-304|Zeroize sensitive information in memory after use,Secure Disposal,DSP-02,Apply industry accepted methods for the secure disposal of data from storage media such that data is not recoverable by any forensic means.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
732-148|Vulnerability management,Application Vulnerability Remediation,AIS-07,"Define and implement a process to remediate application security vulnerabilities, automating remediation when possible.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
732-148|Vulnerability management,Threat and Vulnerability Management Policy and Procedures,TVM-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures to identify, report and prioritize the remediation of vulnerabilities and threats, in order to protect systems against vulnerability exploitation. Review and update the policies and procedures at least annually or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
732-148|Vulnerability management,Vulnerability Identification,TVM-03,"Define, implement and evaluate processes, procedures and technical measures to enable both scheduled and emergency responses to vulnerability identifications, based on the identified risk.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
732-148|Vulnerability management,Detection Updates,TVM-04,"Define, implement and evaluate processes, procedures and technical measures to update detection tools, threat signatures, and indicators of compromise on a weekly, or more frequent basis.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
732-148|Vulnerability management,Vulnerability Remediation Schedule,TVM-07,"Define, implement and evaluate processes, procedures and technical measures based on identified risks to support scheduled and emergency responses to vulnerability identification.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
732-148|Vulnerability management,Vulnerability Prioritization,TVM-08,Use a risk-based model for effective prioritization of vulnerability remediation using an industry recognized framework.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
732-148|Vulnerability management,Vulnerability Management Reporting,TVM-09,Define and implement a process for tracking and reporting vulnerability identification and remediation activities that includes stakeholder notification.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
732-148|Vulnerability management,Vulnerability Management Metrics,TVM-10,"Establish, monitor and report metrics for vulnerability identification and remediation at defined intervals.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
762-616|Secure serialized objects (e.g. integrity checks),Secure Model Format,MDS-13,Adopt secure model formats and processes for AI model serialization where applicable.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
765-788|Classify sensitive data in protection levels,Data Classification,DSP-04,Classify data according to its type and sensitivity level.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
770-362|Log time synchronization,Clock Synchronization,LOG-06,Use a reliable time source across all relevant information processing systems.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
783-255|Store cryptographic keys securely,Customer Key Management Capability,CEK-08,Providers must provide the capability for customers to manage their own data encryption keys.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
783-255|Store cryptographic keys securely,Key Archival,CEK-18,"Define, implement and evaluate processes, procedures and technical measures to manage archived keys in a secure repository requiring least privilege access, which include provisions for legal and regulatory requirements.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
803-457|Protection against AI-Specfic Threats,Threat Response,TVM-13,"Use a risk-based method for the prioritization and mitigation of threats, leveraging an industry-recognized framework to guide threat decision-making and protection measures.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
810-884|AI user transparency,Explainability Evaluation,GRC-14,"Evaluate, document, and communicate the degree of explainability of the AI Services, including possible limitations and exceptions.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
820-878|Document all trust boundaries and significant data flows,Data Flow Documentation,DSP-05,"Create data flow documentation to identify what data is processed, stored or transmitted where. Review data flow documentation at defined intervals, at least annually, and after any change.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
820-878|Document all trust boundaries and significant data flows,Model Documentation,MDS-03,"Define, implement, enforce, approve, document, communicate, maintain and evaluate processes and procedures for model documentation. Regularly review and update the model documentation.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
820-878|Document all trust boundaries and significant data flows,Model Documentation Requirements,MDS-04,Establish and implement baseline requirements for Model documentation.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
820-878|Document all trust boundaries and significant data flows,Model Documentation Validation,MDS-05,"Define, implement, and evaluate processes, procedures, and technical measures for the validation of the Model documentation aligned with the current model.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
821-832|Ensure keys and passwords are replaceable,Key Rotation,CEK-12,"Rotate cryptographic keys in accordance with the calculated cryptoperiod, which includes provisions for considering the risk of information disclosure and legal and regulatory requirements.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
821-832|Ensure keys and passwords are replaceable,Key Revocation,CEK-13,"Define, implement and evaluate processes, procedures and technical measures to revoke and remove cryptographic keys prior to the end of its established cryptoperiod, when a key is compromised, or an entity is no longer part of the organization, which include provisions for legal and regulatory requirements.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
821-832|Ensure keys and passwords are replaceable,Key Destruction,CEK-14,"Define, implement, and evaluate processes, procedures, and technical measures to securely destroy cryptographic keys when they are no longer needed, which include provisions for legal and regulatory requirements.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
821-832|Ensure keys and passwords are replaceable,Key Deactivation,CEK-17,"Define, implement and evaluate processes, procedures and technical measures to deactivate keys at the time of their expiration date, which include provisions for legal and regulatory requirements.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
833-030|Connect with the community,Special Interest Groups,GRC-08,Establish and maintain contact with related special interest groups and other relevant entities in line with business context.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
847-247|Interoperability and portability policy and procedures,Interoperability and Portability Policy and Procedures,IPY-01,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures for interoperability and portability including requirements for: a. Communications between application interfaces b. Information processing interoperability c. Application development portability d. Information/Data exchange, usage, portability, integrity, and persistence Review and update the policies and procedures at least annually or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
872-574|Virus/malware protection,Malware and Malicious Instructions Protection Policy and Procedures,TVM-02,"Establish, document, approve, communicate, apply, evaluate and maintain policies and procedures to protect against malware and malicious instructions. Review and update the policies and procedures at least annually or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
872-574|Virus/malware protection,Anti-Malware Detection and Prevention,UEM-09,Configure managed endpoints with anti-malware detection and prevention technology and services.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
881-234|AI supply chain management,Supply Chain Risk Management Policies and Procedures,STA-01,"Establish, document, approve, communicate, apply, evaluate, and maintain policies and procedures for supply chain risk management. Review and update the policies and procedures at least annually or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
881-234|AI supply chain management,SSRM Supply Chain,STA-03,"Apply, document, implement and manage the SSRM throughout the supply chain.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
881-234|AI supply chain management,Supply Chain Inventory,STA-08,Develop and maintain an inventory of all supply chain relationships.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
881-234|AI supply chain management,Supply Chain Risk Management,STA-09,Periodically review risk factors associated with supply chain relationships.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
881-234|AI supply chain management,Supply Chain Agreement Review,STA-11,"Review supply chain agreements at least annually, or upon significant changes.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
881-234|AI supply chain management,Supply Chain Governance Review,STA-14,Periodically review the organization's supply chain partners' IT governance policies and procedures.,https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
886-662|Limit inference resources,Capacity and Resource Planning,I&S-02,"Plan and monitor the availability, quality, and adequate capacity of resources in order to deliver the required system performance as determined by the business.",https://cloudsecurityalliance.org/artifacts/ai-controls-matrix
